OCCU_DESC,WK_TYPE,CJOB_TYPE,CJOB_NAME1,CJOB_NO,CJOB_NAME2,AVAILREQNUM,STOP_DATE,JOB_DETAIL,CITYNAME,EXPERIENCE,WKTIME,SALARYCD,SALARY_L,SALARY_U,EDGRDESC,URL_QUERY,COMPNAME,TRANDATE,seg
辦公室環境清潔員（北市松山／富錦街）,兼職,19,清潔／家事／托育(保母),190101,大樓及辦公室清潔員,1,20321231,📢想要加入的夥伴我們並非只能短期打工，更希望長期配合，更可以彈性排班，當然我們希望你有下列條件：✅️準時出勤者✅️溝通能力佳✅️自備交通工具✅️能自行到客戶之公司行號服務我們會盡可能安排離夥伴較近距離的工作，都是以雙北市為主的服務案點，並至少提供20小時的班(每一案件至少2小時)🤗竭誠歡迎您一起加入🤗1️⃣有經驗最好，沒有我們也會安排培訓。2️⃣好同學好朋友兩人一組，課餘時間高薪兼職。3️⃣孩子上學，在家沒事打高薪兼職。4️⃣二度就業目前仍找不到好工作，高薪兼職。5️⃣及其他各路需要工作的夥伴💰培訓期間仍有180/時薪🔎工作內容：🙅不會讓你做🙅垃圾清運、動物排泄物處理、超過夥伴能負荷之重物搬運、對人體有害的環境（高溫、惡臭、強酸鹼具有毒物質的場所。🙆協助環境清潔管理🙆辦公區、洽談區、會議室、茶水間、廁所、陽台、窗戶等區域的清潔維護，並執行掃地、拖地、擦拭、除塵、刷洗、垃圾集中...等工作執行。工作內容： 1.負責指派地點之清潔工作。  2.負責資源回收整理及垃圾處理。  3.能獨立執行其它清潔相關交辦事項。 4.須工作態度認真細心、穩定性高。 5.具經驗佳或願意接受培訓學習。 6.需經過實習評估及實作考核通過，始正式聘用。配合團隊執行辦公室及商業空間環境維護與清潔工作,台北市松山區,無,部份工時：14時00分至17時00分,時薪,180.0,300.0,不拘,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2478629&HIRE_ID=11481663,滿馨事業有限公司,20221026,"['環境', '清潔員', '富錦街', '公室', '松山']"
辦公室環境清潔員（北市中山／松江路）,兼職,19,清潔／家事／托育(保母),190101,大樓及辦公室清潔員,1,20321231,📢想要加入的夥伴我們並非只能短期打工，更希望長期配合，更可以彈性排班，當然我們希望你有下列條件：✅️準時出勤者✅️溝通能力佳✅️自備交通工具✅️能自行到客戶之公司行號服務我們會盡可能安排離夥伴較近距離的工作，都是以雙北市為主的服務案點，並至少提供20小時的班(每一案件至少2小時)🤗竭誠歡迎您一起加入🤗1️⃣有經驗最好，沒有我們也會安排培訓。2️⃣好同學好朋友兩人一組，課餘時間高薪兼職。3️⃣孩子上學，在家沒事打高薪兼職。4️⃣二度就業目前仍找不到好工作，高薪兼職。5️⃣及其他各路需要工作的夥伴💰培訓期間仍有180/時薪🔎工作內容：🙅不會讓你做🙅垃圾清運、動物排泄物處理、超過夥伴能負荷之重物搬運、對人體有害的環境（高溫、惡臭、強酸鹼具有毒物質的場所。🙆協助環境清潔管理🙆辦公區、洽談區、會議室、茶水間、廁所、陽台、窗戶等區域的清潔維護，並執行掃地、拖地、擦拭、除塵、刷洗、垃圾集中...等工作執行。工作內容:辦公區清潔打掃吸塵廁所清潔打掃庭園落葉清掃會議室清潔打掃玻璃清潔冷氣機濾網清洗,台北市中山區,無,部份工時：09時00分至12時00分,時薪,180.0,300.0,不拘,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2478629&HIRE_ID=11481783,滿馨事業有限公司,20221026,"['環境', '清潔員', '公室', '松江', '中山']"
辦公室環境清潔員（北市中正／北平東路）,全職,19,清潔／家事／托育(保母),190101,大樓及辦公室清潔員,1,20321231,📢想要加入的夥伴我們並非只能短期打工，更希望長期配合，更可以彈性排班，當然我們希望你有下列條件：✅️準時出勤者✅️溝通能力佳✅️自備交通工具✅️能自行到客戶之公司行號服務我們會盡可能安排離夥伴較近距離的工作，都是以雙北市為主的服務案點，並至少提供20小時的班(每一案件至少2小時)🤗竭誠歡迎您一起加入🤗1️⃣有經驗最好，沒有我們也會安排培訓。2️⃣好同學好朋友兩人一組，課餘時間高薪兼職。3️⃣孩子上學，在家沒事打高薪兼職。4️⃣二度就業目前仍找不到好工作，高薪兼職。5️⃣及其他各路需要工作的夥伴💰培訓期間仍有180/時薪🔎工作內容：🙅不會讓你做🙅垃圾清運、動物排泄物處理、超過夥伴能負荷之重物搬運、對人體有害的環境（高溫、惡臭、強酸鹼具有毒物質的場所。🙆協助環境清潔管理🙆辦公區、洽談區、會議室、茶水間、廁所、陽台、窗戶等區域的清潔維護，並執行掃地、拖地、擦拭、除塵、刷洗、垃圾集中...等工作執行。工作內容:廁所清洗、備品補充垃圾清理集中垃圾桶清洗,台北市中正區,無,日班,時薪,180.0,300.0,不拘,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2478629&HIRE_ID=11481815,滿馨事業有限公司,20221026,"['環境', '清潔員', '東路', '公室', '中正', '北平']"
餐廳服務員,全職,16,旅遊／餐飲／休閒,160207,餐飲服務及接待員,15,20231201,餐廳服務,台北市中山區,無,日班、中班,月薪,27000.0,30000.0,高中,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=330839&HIRE_ID=11484479,財團法人台灣敦睦聯誼會所屬作業組織圓山大飯店,20220929,['餐廳服務員']
臨時僱員 (身心障礙權益保障名額),全職,1,經營／行政／總務,10302,行政總務人員,2,20230531,信用卡資料建檔、資料裝訂、投郵等庶務性工作【依據身心障礙權益保障法第38條規定進用名額】,台北市中正區,無,日班,月薪,26536.0,26536.0,高中,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=44193&HIRE_ID=11522527,第一商業銀行股份有限公司,20221024,"['臨時', '僱員', '障礙', '權益', '名額', '身心', '保障']"
Software Engineer,全職,8,資訊／軟體／系統,80202,軟(韌)體設計工程師,2,額滿為止,• 三年以上軟體實務開發經驗者，或有碩士資訊科學相關學位• 有程式審查、測試、文件撰寫經驗並曾歷經軟體開發流程，如Scrum和Kanban• 熟悉任一語言(Python、Ruby、Perl、Java、C#、C/C＋＋等)，熟Python尤佳• 有Linux維運、開發和産品佈署經驗• 了解不同網路開發和管理技術(DevOps、Microservices、REST、Container、CI等),台北市信義區,3年以上,日班,月薪,80000.0,100000.0,大學,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2481073&HIRE_ID=11530067,科迪股份有限公司,20221020,"['Software', 'Engineer']"
財務人員,全職,4,財務／金融／保險,40109,財務專業人員,1,20221231,★意者請至國家住都中心人力招募網站填寫個人履歷★網站https://hr.hurc.org.tw/或至國家住都中心官網→訊息公告→徵才公告。★徵才日期：2022-10-26~2022-11-13★【工作內容】(1)熟悉銀行放款業務。(2)每月編製預估現流表、每季分析與檢討融資案執行效益、每半年度彙整各融資案執行情形、每年度底研擬次年度融資策略。(3)籌措資金辦理融資及動撥管控作業。(4)編製融資方案。(5)建置各業務財務模型及情境分析。(6)分析各專案現流及其參數異動影響數。(7)分析總體經濟、貨幣市場、金融商品及融資、投資、合併、收購等財務策略。(8)轉投資事業計畫評估、分析及建議。(9)建立財務風險控管機制及投資資產配置。(10)優化資本結構與改善財務結構。 【資格條件】學歷：國內外公私立大學之會計、財稅、財務等系所學士以上畢業並取得證書者。經歷：(1)熟悉Excel、Word等Office電腦文書處理軟體，尤擅長Excel函數、樞紐及ppt簡報作業。(2)具備財會專業知識，數據分析能力及邏輯觀念強。【職務條件】☆資深專員(一)碩士以上學歷，具相關經歷3年以上或其他經歷4年以上(二)大學學歷，具相關經歷5年以上或其他經歷6年以上(三)專科學歷，具相關經歷5年以上或其他經歷6年以上☆專員(一)碩士以上學歷，具相關經歷2年以上或其他經歷3年以上(二)大學學歷，具相關經歷4年以上或其他經歷5年以上(三)專科學歷，具相關經歷5年以上或其他經歷6年以上【薪資待遇】資深專員 - 新臺幣6.4 – 8.3萬元專員 - 新臺幣4.8 - 6.2萬元★實際薪資依「國家住宅及都市更新中心人事管理作業辦法」辦理，並考量應徵者應徵職務之實際學經歷及核定為原則★★新進員工應先行試用，試用期3個月★★依法進用：具有就業能力之身心障礙並持有證明文件者、具備「原住民身分」尤佳★★111-11-13(含)前完成個人履歷者優先書審作業，經審查資格條件符合本中心需求者擇優通知面試；資格不符者，不另行通知。111-11-14後完成個人履歷者，經審查資格條件符合本中心需求者列入人才庫，將依需求通知面試★,台北市中山區,無,日班,月薪,48000.0,83000.0,專科,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2399077&HIRE_ID=11542939,國家住宅及都市更新中心,20221026,['財務人員']
機電工程師-台北中正.中山,全職,7,工程／研發／生技,70218,機電整合工程師,2,額滿為止,指揮並監督現場工作人員，以監控工程的執行進度與施工品質,台北市中正區,無,日班,月薪,35400.0,,專科,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=151195&HIRE_ID=11493047,山發營造股份有限公司　　　　　,20221019,['機電工程師-台北中正.中山']
,全職,17,醫療／美容／保健,170113,照顧服務員,8,20221129,照顧老人(幫老人洗澡、翻身、拍背、換尿布、餵食..等),台北市大同區,無,日班、夜班、輪班二班制,月薪,27500.0,,不拘,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=72825&HIRE_ID=11570237,臺北市私立建順老人長期照顧中心(養護型),20221107,['nan']
內勤業務(安穩僱用2.0),全職,2,業務／貿易／銷售,20102,業務人員,3,20221128,1. 業務部門維護合約續約2. 業績目標分配與績效達成3. 業績與管理報表撰寫4. 主管交辦事項,台北市松山區,2年以上,日班,月薪,35000.0,40000.0,專科,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=469231&HIRE_ID=11481675,普鴻資訊股份有限公司,20220929,"['內勤', '業務', '安穩', '僱用', '2.0']"
巴黎廳1930X高山英紀-餐廳服務員/資深服務員,全職,16,旅遊／餐飲／休閒,160207,餐飲服務及接待員,2,額滿為止,1.飯店餐廳外場服務包含餐點介紹、帶位 2.協助餐廳營業前準備作業 3.餐廳顧客用餐情況關心之顧客關係建立 4.熱愛餐飲業、服務態度親切，個性活潑外向。 5.具備團隊合作精神。 6.具備良好溝通技能。 7.處理主管交辦事宜,台北市中山區,無,日班、輪班二班制、中班,月薪,32000.0,35000.0,不拘,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=95599&HIRE_ID=11529585,亞都麗緻大飯店股份有限公司,20221020,"['1930X', '英紀', '餐廳服務員', '資深', '服務員', '高山', '巴黎']"
房務員-信義/北車館,全職,16,旅遊／餐飲／休閒,160105,房務員,2,額滿為止,無經驗可，有教育訓練，歡迎應屆畢業生、二度就業等不論年紀、我們正尋找做事細心、認真、有禮貌的夥伴加入團隊，共同努力！將好的服務與環境給予客人。1. 客房及浴室清潔及床被單毛巾更換送洗2. 備品整理補充、及庫存管理3. 旅館環境維護、公共區域清潔4. 設備巡視及故障回報5.房客遺留物品處理。6.完成各項主管交辦事項7.配合分館支援視乎工作經驗及績效表現，可培訓/晉升為房務領班。，，,台北市不限,無,日班,月薪,29000.0,34000.0,不拘,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2454367&HIRE_ID=11515171,正是旅館有限公司,20221025,"['房務員', '信義', '北車館']"
中印雙語翻譯人員,全職,12,新聞／出版／印刷,120190,其它雙語翻譯人員,1,20221129,翻譯文件,台北市士林區,無,日班,月薪,26000.0,31000.0,不拘,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=236189&HIRE_ID=11568903,東綋企業有限公司,20221107,['中印雙語翻譯人員']
半技工.助理,全職,10,技術／維修／操作,100104,空調冷凍技術人員,2,20221231,從事冷暖氣、通風、除濕及冷凍系統設備之設計、發展、製造、裝設、維修等工作。,台北市不限,無,日班,月薪,31000.0,36000.0,不拘,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=919003&HIRE_ID=11404555,詮晨空調設備有限公司,20220823,['半技工.助理']
網頁程式設計師,全職,5,廣告／公關／設計,50313,網頁設計師,1,20221231,規劃網站的形象、功能，並進行網頁視覺設計、製作、修改、測試等工作。1.網頁數位美編、出版繕打、修圖美編、資料整理除錯2.維持現有廠商廣告客戶並建立流失遞補機制5.客戶問題解決收集記錄7.行政工作事務及執行其他主管交辦事務其他條件:1.須工作態度良好且配合度高2.個性主動積極並具高學習意願3.能有效分配、運用自己的時間及資源，且有效率的完成主管交辦工作4.能清楚表達自己的想法並使他人了解，並正確解讀他人所傳達的資訊,台北市松山區,無,日班,月薪,25250.0,30000.0,專科,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=375515&HIRE_ID=11306833,阿米巴資訊股份有限公司,20220727,['網頁程式設計師']
行政助理,全職,1,經營／行政／總務,10206,行政助理,2,20221122,公司文件檔案的建立及管理協助會議、準備統計報表、書面報告及間報資料檢查整理檔案資料處理影像掃描及目標建檔其他主管交辦事項,台北市中山區,無,日班,月薪,26000.0,28000.0,高職,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=752681&HIRE_ID=11472161,湜憶電腦知訊顧問股份有限公司,20220922,['行政助理']
【The Ukai Taipei】鐵板燒/割烹廚藝兼職人員,兼職,22,其他職類,220101,兼職人員,5,額滿為止,1.負責處理各種食材，以完成烹飪的前置工作。2.當天食材歸類、處理(如:處理海鮮魚類...等)3.餐後廚房環境整理、清潔4.協助餐具/器皿整理及歸位。5.主管交辦事項,台北市信義區,無,日班、部份工時：時分至時分、中班,時薪,240.0,,專科,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2384169&HIRE_ID=11497791,御盟建設股份有限公司台北分公司,20221004,"['Ukai', 'Taipei', '鐵板燒', '廚藝', '職人員']"
法務助理員,全職,3,人資／法務／智財,30204,法律助理人員,1,20230114,撰擬智財相關文件、國外商標申請、爭議及一般文書資料處理工作。與國外事務所及外商客戶書信聯繫處理公司內部各項法律事務工作。,台北市松山區,無,日班,論件計酬,3000.0,15000.0,大學,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=473263&HIRE_ID=11583885,大直國際專利商標聯合事務所,20221114,['法務助理員']
板模施工技術工,全職,11,營建／製圖／施作,110315,模板工,100,額滿為止,從事鋁模板之組合安裝及拆除混凝土灌注所用之鋁模板及支架等工作。,台北市不限,無,日班,日薪,1600.0,2500.0,不拘,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=37677&HIRE_ID=11563249,安翊企業股份有限公司,20221103,['板模施工技術工']
正職中廚點心一廚,全職,16,旅遊／餐飲／休閒,160202,中/西餐烹飪廚師,1,額滿為止,從事港式點心製作，食材的準備、處理及烹調並負責研發新料理。,台北市中山區,5年以上,,依學經歷、證照核薪(每月經常性薪資達4萬元以上),,,高職,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=153107&HIRE_ID=11533231,老爺大酒店股份有限公司,20221020,['正職中廚點心一廚']
財會主管(祥圃集團),全職,4,財務／金融／保險,40104,主辦及成本會計,1,20221130,1.銀行往來業務，資金調度及融資及營運資金預算及規劃2.檢討每月各營運單位之營運結果、預算執行績效3.會計帳務審核、年度預算編列4.會計成本作業，能獨立完成5.會計作業處理、管理報表製作與分析6.流程改善規劃作業7.熟IPO作業8.其他主管交辦事項及臨時支援任務,台北市中山區,3年以上,日班,依學經歷、證照核薪(每月經常性薪資達4萬元以上),,,大學,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=293357&HIRE_ID=11580413,祥圃實業股份有限公司,20221110,"['財會', '祥圃', '集團', '主管']"
清潔人員(木柵路),全職,19,清潔／家事／托育(保母),190101,大樓及辦公室清潔員,2,20221114,辦公大樓清潔維護,台北市文山區,無,日班,月薪,26000.0,28000.0,不拘,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2364515&HIRE_ID=11582677,運達環境管理顧問有限公司,20221111,"['清潔人員', '木柵路']"
操作員,全職,10,技術／維修／操作,100306,食品製造機械技術人員,12,20221117,爆米花生產線製作、爆米化生產線產品包裝(須全天久站、耐高溫、辦運重物，有輔助工具)公司自辦招募--應徵者請於111年10月25日10時至12時，攜帶身分證明文件前往工作地點參與面試。,台北市南港區,無,日班,月薪,27250.0,30793.0,不拘,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=1126363&HIRE_ID=11500369,星奕企業股份有限公司,20221005,['操作員']
專案企劃執行人員,兼職,21,行銷／企劃／專案,210103,行銷企劃人員,1,20230101,1.有活動與課程推廣經驗2.有規劃及執行能力3.三年以上經驗,台北市中正區,3年以上,日班、部份工時：09時00分至12時00分,月薪,30000.0,35000.0,專科,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=54139&HIRE_ID=11555381,臺灣智財科技股份有限公司,20221101,['專案企劃執行人員']
科技教育(創客)工程師,全職,8,資訊／軟體／系統,80202,軟(韌)體設計工程師,5,額滿為止,☆在這裡，你/妳將有機會學習到各種AI/機器學習的技術，並且實際應用到產品開發中。☆在這裡，你/妳將有機會獨當一面，從產品發想、企劃、實驗、開發、定價到行銷推廣，全程主導負責，鍛鍊全方位的經驗。◎ 技術教材編輯：1.熟悉 C 或 Python 等程式語言，具備 AI、機器學習概念者佳。2.具自學能力，喜歡鑽研程式邏輯、IT 技術、新興科技。3.具閱讀習慣、樂於分享，善於將各種科技、技術主題以簡明易懂的方式，透過文字、圖解、甚至影片傳達給學習者。4.具文章寫作組織，能用文字清楚表達自己的想法。◎ 創客產品研發：1.熟 Arduino、ESP8266 等互動設計開發板。2.腦中總是有新鮮點子想要完成，總是想試試新技術、玩玩新硬體。3.樂於整合軟硬體技術，從無到有將多元創意轉化為能讓人想動手試看看又具備科技教育功能的產品。關於旗標科技的創客產品，歡迎到官網參考詳細內容：https://www.flag.com.tw/maker◎ 創客產品推廣：協助教學單位趕上全球科技教育潮流，讓課堂上學生玩得開心，也學得盡興，必要時會遊遍全國各大專院校擔任教育先鋒。,台北市中正區,無,日班,月薪,30000.0,45000.0,大學,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=300776&HIRE_ID=11476141,旗標科技股份有限公司,20220926,"['創客', '工程師', '科技', '教育']"
送貨司機,全職,15,物流／運輸／資材,150102,大貨車司機,1,20221231,1. 駕駛大貨車/小貨車，將貨品、原料運送至目的地2. 裝卸貨品，並固定貨品，確保運送過程安全3. 出、退、換貨作業事宜、清點貨物並進行簽收4. 定期檢修車輛5. 發生交通事故時作事故報告,台北市士林區,無,日班,月薪,38000.0,55000.0,不拘,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=353711&HIRE_ID=11518275,鈺植企業有限公司,20221013,['送貨司機']
西廚二廚(固定大夜)【安穩僱用計畫2.0】,全職,16,旅遊／餐飲／休閒,160202,中/西餐烹飪廚師,2,20231106,1. 24H 客房服務餐單提供。2. 早餐備料。3. 廚房清潔。,台北市大安區,無,夜班,月薪,38000.0,42000.0,不拘,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=103990&HIRE_ID=11434381,福華大飯店股份有限公司,20221017,"['西廚', '二廚', '大夜', '安穩', '僱用', '計畫', '2.0', '固定']"
